School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Adequate Yearly Progress Made? ,Healthy Schools Certified?,Safety Icon ,Family Involvement Icon,Environment Icon ,Instruction Icon ,Leaders Icon ,Teachers Icon ,Parent Engagement Icon ,Parent Environment Icon,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Total Score,Edge Score,
610251,Willa Cather Elementary School,ES,2908 W Washington Blvd ,Chicago,IL,60612,1,1,4,4,4,5,4,5,4,3,4,4,6,45,4,
610319,Evergreen Academy Middle School,MS,3537 S Paulina St ,Chicago,IL,60609,1,1,4,3,3,3,3,4,2,3,6,5,7,40,4,
610039,Carl von Linne Elementary School,ES,3221 N Sacramento Ave ,Chicago,IL,60618,1,1,4,3,4,4,2,3,3,4,5,5,6,40,4,
610231,National Teachers Elementary Academy,ES,55 W Cermak Rd ,Chicago,IL,60616,1,1,4,4,4,4,3,3,4,4,4,5,6,42,4,
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr ,Chicago,IL,60649,1,1,3,4,4,5,4,4,2,3,5,5,5,41,4,
610242,Joseph Brennemann Elementary School,ES,4251 N Clarendon Ave ,Chicago,IL,60613,1,1,3,3,3,3,3,3,3,4,6,5,7,40,4,
609828,Jonathan Burr Elementary School,ES,1621 W Wabansia Ave ,Chicago,IL,60622,5,1,4,4,4,3,3,4,4,3,5,5,6,46,4,
610287,Ashburn Community Elementary School,ES,8300 S Saint Louis Ave ,Chicago,IL,60652,1,1,3,4,3,3,4,4,3,3,5,4,7,41,4,
609960,Nathan Hale Elementary School,ES,6140 S Melvina ,Chicago,IL,60638,5,1,3,4,3,3,4,4,4,3,4,5,6,44,4,
610170,Columbia Explorers Elementary Academy,ES,4520 S Kedzie Ave ,Chicago,IL,60632,1,1,3,4,3,4,4,4,3,4,5,5,7,43,4,
610206,Mark Twain Elementary School,ES,5134 S Lotus Ave ,Chicago,IL,60638,1,1,4,4,3,3,5,4,4,4,6,5,7,46,4,
610147,Philip Rogers Elementary School,ES,7345 N Washtenaw Ave ,Chicago,IL,60645,1,1,5,4,4,4,4,4,3,3,6,5,5,44,4,
609995,Rufus M Hitch Elementary School,ES,5625 N McVicker Ave ,Chicago,IL,60646,1,5,4,4,3,3,4,4,4,4,5,5,6,47,4,
610274,James Weldon Johnson Elementary School,ES,1420 S Albany Ave ,Chicago,IL,60623,1,1,4,2,4,4,4,4,3,4,4,5,7,42,4,
610503,Frazier Prospective IB Magnet Elementary School,ES,4027 W Grenshaw St ,Chicago,IL,60624,5,1,4,3,5,4,3,3,4,4,6,5,6,48,4,
610099,Norwood Park Elementary School,ES,5900 N Nina Ave ,Chicago,IL,60631,5,1,5,5,4,4,2,2,4,3,5,5,5,45,4,
609942,Johann W von Goethe Elementary School,ES,2236 N Rockwell St ,Chicago,IL,60647,1,1,4,4,4,3,4,4,4,3,5,5,7,44,4,
609922,Belmont-Cragin Elementary School,ES,2456 N Mango Ave ,Chicago,IL,60639,1,1,4,5,4,4,3,3,4,4,5,5,6,44,4,
610184,John Spry Elementary Community School,ES,2400 S Marshall Blvd ,Chicago,IL,60623,1,1,4,3,4,4,3,3,2,3,6,5,7,41,4,
610353,Calmeca Academy of Fine Arts and Dual Language,ES,3456 W 38th St ,Chicago,IL,60632,1,5,3,4,3,4,4,3,3,4,6,5,6,46,4,
610132,Edgar Allan Poe Elementary Classical School,ES,10538 S Langley Ave ,Chicago,IL,60628,5,1,5,2,4,5,2,3,4,3,7,5,7,48,4,
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave ,Chicago,IL,60657,1,1,4,4,4,3,3,3,4,4,5,5,7,43,4,
610011,Minnie Mars Jamieson Elementary School,ES,5650 N Mozart St ,Chicago,IL,60659,1,1,4,3,4,4,3,3,3,3,5,5,6,40,4,
610125,Irma C Ruiz Elementary School,ES,2410 S Leavitt St ,Chicago,IL,60608,1,5,3,3,3,4,3,3,3,3,5,5,5,41,4,
610009,Galileo Math & Science Scholastic Academy Elementary School,ES,820 S Carpenter St ,Chicago,IL,60607,5,1,4,3,3,3,3,2,3,3,5,5,7,42,4,
609899,Christian Ebinger Elementary School,ES,7350 W Pratt Ave ,Chicago,IL,60631,5,1,4,4,4,3,2,4,3,2,5,5,5,42,4,
609849,George F Cassell Elementary School,ES,11314 S Spaulding Ave ,Chicago,IL,60655,5,1,4,4,3,2,4,4,3,2,4,5,5,41,4,
609866,John C Coonley Elementary School,ES,4046 N Leavitt St ,Chicago,IL,60618,5,1,5,5,4,2,4,3,4,4,5,5,6,48,4,
610182,Hannah G Solomon Elementary School,ES,6206 N Hamlin Ave ,Chicago,IL,60659,5,1,4,5,4,4,4,4,3,3,5,5,5,47,4,
610109,William Bishop Owen Scholastic Academy Elementary School,ES,8247 S Christiana Ave ,Chicago,IL,60652,5,1,3,4,2,3,3,3,4,3,6,5,5,42,4,
610221,Daniel Webster Elementary School,ES,4055 W Arthington St ,Chicago,IL,60624,1,1,3,3,5,4,3,3,2,4,4,5,7,40,4,
609990,South Loop Elementary School,ES,1212 S Plymouth Ct ,Chicago,IL,60605,5,1,5,4,2,2,3,3,4,2,5,5,7,43,4,
609693,George Westinghouse High School,HS,3223 W Franklin Blvd ,Chicago,IL,60624,0,1,4,4,4,5,5,4,4,4,3,5,6,44,4,
609798,Hiram H Belding Elementary School,ES,4257 N Tripp Ave ,Chicago,IL,60641,1,1,4,4,4,4,3,3,3,3,5,5,6,41,4,
609766,Jacqueline B Vaughn Occupational High School,HS,4355 N Linder Ave ,Chicago,IL,60641,0,1,3,4,2,2,4,4,4,4,7,5,5,40,4,
609836,Arthur E Canty Elementary School,ES,3740 N Panama Ave ,Chicago,IL,60634,5,1,5,4,4,4,3,3,4,3,6,5,6,48,4,
610215,Francisco I Madero Middle School,MS,3202 W 28th St ,Chicago,IL,60623,1,5,3,2,3,3,3,2,3,3,5,5,7,40,4,
609755,Whitney M Young Magnet High School,HS,211 S Laflin St ,Chicago,IL,60607,5,1,5,5,4,4,3,3,3,3,4,5,4,44,4,
610217,James Ward Elementary School,ES,2701 S Shields Ave ,Chicago,IL,60616,5,1,3,4,3,3,4,3,3,2,7,5,6,44,4,
610544,Mariano Azuela Elementary School,ES,4707 W Marquette Rd ,Chicago,IL,60629,1,1,3,5,4,5,4,5,3,4,5,5,0,40,4,
610520,LaSalle II Magnet Elementary School,ES,1148 N Honore St ,Chicago,IL,60622,5,1,4,5,2,3,5,4,4,3,5,5,4,45,4,
609888,Mary Mapes Dodge Elementary Renaissance Academy,ES,2651 W Washington Blvd ,Chicago,IL,60612,1,1,3,4,4,4,4,5,4,4,4,5,7,45,4,
610081,Mark Sheridan Elementary Math & Science Academy,ES,533 W 27th St ,Chicago,IL,60616,5,1,4,3,3,4,3,4,4,3,6,5,7,47,4,
609769,Ray Graham Training Center High School,HS,2347 S Wabash Ave ,Chicago,IL,60616,0,1,5,5,3,2,4,3,3,4,6,5,4,40,4,
609973,Emiliano Zapata Elementary Academy,ES,2728 S Kostner Ave ,Chicago,IL,60623,1,1,4,3,3,3,4,4,2,3,6,5,6,40,4,
610107,James Otis Elementary School,ES,525 N Armour St ,Chicago,IL,60622,1,1,5,5,4,3,5,5,4,4,5,5,6,48,4,
610383,Greater Lawndale High School For Social Justice,HS,3120 S Kostner Ave ,Chicago,IL,60623,1,1,3,4,3,3,5,4,3,2,7,5,5,41,4,
610095,Walter L Newberry Math & Science Academy Elementary School,ES,700 W Willow St ,Chicago,IL,60614,5,1,4,4,3,4,3,3,4,3,5,5,6,45,4,
610000,Julia Ward Howe Elementary School of Excellence,ES,720 N Lorel Ave ,Chicago,IL,60644,1,1,4,3,5,4,3,4,4,4,6,5,7,46,4,
610196,George B Swift Elementary Specialty School,ES,5900 N Winthrop Ave ,Chicago,IL,60660,1,1,4,3,4,4,4,3,3,4,6,5,5,42,4,
609901,Edgebrook Elementary School,ES,6525 N Hiawatha Ave ,Chicago,IL,60646,5,1,5,5,3,3,4,4,4,2,6,5,6,48,4,
609893,John C Dore Elementary School,ES,6108 S Natoma Ave ,Chicago,IL,60638,5,1,4,4,4,4,3,3,4,2,5,5,6,45,4,
609937,John W Garvy Elementary School,ES,5225 N Oak Park Ave ,Chicago,IL,60656,1,1,4,4,3,3,3,3,4,3,5,5,6,40,4,
610019,Joshua D Kershaw Elementary School,ES,6450 S Lowe Ave ,Chicago,IL,60621,1,1,4,4,4,3,3,3,4,4,4,5,6,41,4,
609744,Northside Learning Center High School,HS,3730 W Bryn Mawr Ave ,Chicago,IL,60659,0,1,5,5,5,2,4,5,4,4,9,5,5,49,4,
610313,Jose De Diego Elementary Community Academy,ES,1313 N Claremont Ave ,Chicago,IL,60622,1,5,3,3,2,3,4,4,3,4,5,4,6,43,4,
610033,LaSalle Elementary Language Academy,ES,1734 N Orleans St ,Chicago,IL,60614,5,1,5,4,4,3,2,3,3,3,6,5,7,46,4,
610513,Air Force Academy High School,HS,3630 S Wells St ,Chicago,IL,60609,0,5,3,4,4,3,3,3,3,3,3,5,6,40,4,
610219,George Washington Elementary School,ES,3611 E 114th St ,Chicago,IL,60617,5,1,3,4,2,3,5,4,3,3,5,5,5,43,4,
610230,Wildwood Elementary School,ES,6950 N Hiawatha Ave ,Chicago,IL,60646,5,1,5,5,4,4,3,3,4,2,6,5,5,47,4,
609956,Robert L Grimes Elementary School,ES,5450 W 64th Pl ,Chicago,IL,60638,1,1,4,4,3,3,4,4,3,3,5,5,5,40,4,
610506,TEAM Englewood Community Academy High School,HS,6201 S Stewart Ave ,Chicago,IL,60621,1,1,3,3,3,3,4,4,4,3,7,5,6,42,4,
610539,Marvin Camras Elementary School,ES,3000 N Mango Ave ,Chicago,IL,60634,1,1,3,3,2,3,5,5,3,4,5,5,0,35,3,
610056,Roswell B Mason Elementary School,ES,4217 W 18th St ,Chicago,IL,60623,1,1,2,3,3,3,3,2,3,4,2,4,5,32,3,
609863,Christopher Columbus Elementary School,ES,1003 N Leavitt St ,Chicago,IL,60622,5,1,4,0,3,3,0,0,4,3,5,5,6,34,3,
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,4420 S Sacramento Ave ,Chicago,IL,60632,1,1,3,2,2,3,2,1,3,3,6,2,6,33,3,
609938,Joseph E Gary Elementary School,ES,3740 W 31st St ,Chicago,IL,60623,1,1,2,2,2,2,2,1,2,3,6,5,6,30,3,
610239,Richard J Daley Elementary Academy,ES,5024 S Wolcott Ave ,Chicago,IL,60609,1,1,2,3,2,3,3,3,2,3,4,4,6,33,3,
610523,Edison Park Elementary School,ES,6220 N Olcott Ave ,Chicago,IL,60631,5,1,5,0,3,3,0,0,4,2,6,5,6,35,3,
610394,Uplift Community High School,HS,900 W Wilson Ave ,Chicago,IL,60640,1,1,3,3,4,4,3,3,0,0,8,5,5,35,3,
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave ,Chicago,IL,60618,1,1,5,5,4,3,3,3,0,0,6,5,5,36,3,
610105,Oriole Park Elementary School,ES,5424 N Oketo Ave ,Chicago,IL,60656,1,1,5,0,5,4,0,0,4,2,6,5,5,33,3,
609837,Andrew Carnegie Elementary School,ES,1414 E 61st Pl ,Chicago,IL,60637,1,1,3,3,2,4,3,2,3,3,4,5,4,33,3,
610054,John L Marsh Elementary School,ES,9822 S Exchange Ave ,Chicago,IL,60617,1,1,4,3,3,2,3,3,3,4,5,5,5,37,3,
610225,John Whistler Elementary School,ES,11533 S Ada St ,Chicago,IL,60643,1,1,3,2,3,2,2,2,3,4,2,5,7,32,3,
610392,World Language Academy High School,HS,3120 S Kostner Ave ,Chicago,IL,60623,1,1,3,2,3,3,3,3,3,2,1,5,6,31,3,
610060,Andrew Jackson Elementary Language Academy,ES,1340 W Harrison St ,Chicago,IL,60607,5,1,5,0,3,3,0,0,0,0,7,5,6,30,3,
609772,Jane Addams Elementary School,ES,10810 S Avenue H ,Chicago,IL,60617,1,1,3,3,3,3,3,3,3,3,6,5,6,38,3,
610385,Multicultural Academy of Scholarship,HS,3120 S Kostner Ave ,Chicago,IL,60623,1,1,3,0,3,3,0,0,4,3,9,5,6,33,3,
609779,George Armstrong International Studies Elementary School,ES,2110 W Greenleaf Ave ,Chicago,IL,60645,1,1,3,3,3,4,3,3,0,0,6,5,6,33,3,
609896,Thomas Drummond Elementary School,ES,1845 W Cortland St ,Chicago,IL,60622,5,1,4,0,3,3,0,0,4,3,5,5,6,34,3,
609862,Edward Coles Elementary Language Academy,ES,8441 S Yates Blvd ,Chicago,IL,60617,1,1,2,3,3,3,3,3,3,3,5,5,5,35,3,
609917,Fernwood Elementary School,ES,10041 S Union Ave ,Chicago,IL,60628,1,1,2,2,1,3,2,3,3,3,3,4,6,30,3,
610316,Amelia Earhart Options for Knowledge Elementary School,ES,1710 E 93rd St ,Chicago,IL,60617,5,1,5,4,4,4,2,3,0,0,6,4,5,39,3,
610367,Oscar DePriest Elementary School,ES,139 S Parkside Ave ,Chicago,IL,60644,1,1,2,2,3,3,3,2,3,4,2,5,5,31,3,
610129,Josiah Pickard Elementary School,ES,2301 W 21st Pl ,Chicago,IL,60608,1,1,3,2,2,2,2,2,3,4,5,5,6,33,3,
610271,Jensen Elementary Scholastic Academy,ES,3030 W Harrison St ,Chicago,IL,60612,1,1,2,3,3,4,3,3,2,3,3,5,5,33,3,
609972,Helge A Haugan Elementary School,ES,4540 N Hamlin Ave ,Chicago,IL,60625,1,1,3,2,3,3,2,2,2,3,6,5,4,32,3,
609805,Scott Joplin Elementary School,ES,7931 S Honore St ,Chicago,IL,60620,1,1,2,2,3,3,3,2,3,3,5,4,4,32,3,
610191,Stone Elementary Scholastic Academy,ES,6239 N Leavitt St ,Chicago,IL,60659,5,1,4,0,3,3,0,0,4,3,6,5,6,35,3,
609737,Friedrich W von Steuben Metropolitan Science High School,HS,5039 N Kimball Ave ,Chicago,IL,60625,1,1,4,2,3,3,2,2,0,0,7,5,5,30,3,
609842,Rachel Carson Elementary School,ES,5516 S Maplewood Ave ,Chicago,IL,60629,1,1,2,2,3,3,2,2,3,3,7,5,7,36,3,
610016,Kate S Kellogg Elementary School,ES,9241 S Leavitt St ,Chicago,IL,60620,5,1,4,0,3,4,0,0,3,2,6,5,5,33,3,
610174,James Shields Elementary School,ES,4250 S Rockwell St ,Chicago,IL,60632,1,1,2,0,3,3,0,0,3,3,7,5,7,30,3,
609944,Virgil Grissom Elementary School,ES,12810 S Escanaba Ave ,Chicago,IL,60633,1,1,4,4,3,4,4,5,0,0,5,5,6,37,3,
609817,Lyman A Budlong Elementary School,ES,2701 W Foster Ave ,Chicago,IL,60625,1,1,3,3,2,2,3,3,3,3,5,5,5,34,3,
609872,Manuel Perez Elementary School,ES,1241 W 19th St ,Chicago,IL,60608,1,5,3,0,3,3,0,0,3,3,5,5,6,32,3,
610543,Eric Solorio Academy High School,HS,5400 S St Louis Ave ,Chicago,IL,60632,0,1,4,3,3,4,4,4,3,4,2,5,0,32,3,
609694,John Hancock College Preparatory High School,HS,4034 W 56th St ,Chicago,IL,60629,1,1,3,3,3,3,2,3,3,2,8,5,5,37,3,
609861,Henry R Clissold Elementary School,ES,2350 W 110th Pl ,Chicago,IL,60643,1,1,3,4,2,4,2,3,3,2,5,5,6,36,3,
610199,Johnnie Colemon Elementary Academy,ES,1441 W 119th St ,Chicago,IL,60643,1,1,4,0,3,4,0,0,3,4,5,5,5,30,3,
609790,Clara Barton Elementary School,ES,7650 S Wolcott Ave ,Chicago,IL,60620,1,1,2,3,2,2,4,3,3,3,1,4,6,31,3,
609950,Josefa Ortiz De Dominguez Elementary School,ES,3000 S Lawndale Ave ,Chicago,IL,60623,1,1,0,4,0,0,3,3,3,4,5,5,7,31,3,
610070,James B McPherson Elementary School,ES,4728 N Wolcott Ave ,Chicago,IL,60640,1,1,4,0,3,2,0,0,3,4,6,5,6,30,3,
610216,John A Walsh Elementary School,ES,2015 S Peoria St ,Chicago,IL,60608,1,5,4,0,4,5,0,0,3,3,5,5,5,35,3,
610220,Thomas J Waters Elementary School,ES,4540 N Campbell Ave ,Chicago,IL,60625,1,1,5,0,3,3,0,0,3,3,6,5,5,30,3,
610078,Inter-American Elementary Magnet School,ES,851 W Waveland Ave ,Chicago,IL,60613,1,1,4,0,3,3,0,0,3,3,6,5,6,30,3,
609720,Albert G Lane Technical High School,HS,2501 W Addison St ,Chicago,IL,60618,5,1,5,0,4,3,0,0,0,0,6,5,6,30,3,
609829,John C Burroughs Elementary School,ES,3542 S Washtenaw Ave ,Chicago,IL,60632,1,5,3,3,2,2,4,3,3,2,5,5,6,39,3,
610355,Mary E Courtenay Elementary Language Arts Center,ES,1726 W Berteau Ave ,Chicago,IL,60613,5,1,5,0,5,5,0,0,4,3,4,5,4,36,3,
610031,Jean D Lafayette Elementary School,ES,2714 W Augusta Blvd ,Chicago,IL,60622,1,1,3,3,3,2,5,4,3,3,4,5,6,38,3,
610269,John T McCutcheon Elementary School,ES,4865 N Sheridan Rd ,Chicago,IL,60640,1,1,3,2,4,3,2,3,3,3,4,5,4,33,3,
610115,Park Manor Elementary School,ES,7037 S Rhodes Ave ,Chicago,IL,60637,1,1,2,3,3,3,4,4,4,4,4,5,6,39,3,
610354,North River Elementary School,ES,4416 N Troy St ,Chicago,IL,60625,1,1,4,4,3,3,3,3,3,3,5,5,6,39,3,
610119,Elizabeth Peabody Elementary School,ES,1444 W Augusta Blvd ,Chicago,IL,60622,1,1,3,3,3,4,3,3,3,3,5,5,7,39,3,
609826,Rosario Castellanos Elementary School,ES,2524 S Central Park Ave ,Chicago,IL,60623,1,1,2,2,2,2,1,2,2,3,6,5,6,30,3,
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,4747 S Marshfield Ave ,Chicago,IL,60609,1,1,3,3,4,3,3,3,2,3,5,5,6,37,3,
609804,Daniel Boone Elementary School,ES,6710 N Washtenaw Ave ,Chicago,IL,60645,1,1,3,3,3,3,3,3,3,3,5,5,5,36,3,
610061,William J & Charles H Mayo Elementary School,ES,249 E 37th St ,Chicago,IL,60653,1,1,3,3,4,4,3,3,3,4,5,4,5,39,3,
609929,Robert Fulton Elementary School,ES,5300 S Hermitage Ave ,Chicago,IL,60609,1,1,3,3,4,4,3,2,2,3,5,5,6,37,3,
609719,Lake View High School,HS,4015 N Ashland Ave ,Chicago,IL,60613,1,1,4,0,3,3,0,0,3,2,7,5,6,30,3,
610207,John H Vanderpoel Elementary Magnet School,ES,9510 S Prospect Ave ,Chicago,IL,60643,5,1,4,0,2,2,0,0,4,3,7,5,6,34,3,
609955,Walter Q Gresham Elementary School,ES,8524 S Green St ,Chicago,IL,60620,1,1,2,3,1,1,4,3,3,2,5,4,5,31,3,
610120,Ferdinand Peck Elementary School,ES,3826 W 58th St ,Chicago,IL,60629,1,1,3,3,3,3,2,2,2,2,6,5,7,35,3,
609793,Nicholson Technology Academy,ES,6006 S Peoria St ,Chicago,IL,60621,1,1,3,2,4,4,3,2,0,0,3,5,7,30,3,
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave ,Chicago,IL,60625,1,1,3,4,2,2,4,3,3,3,6,5,5,37,3,
609969,Bret Harte Elementary School,ES,1556 E 56th St ,Chicago,IL,60637,5,1,4,0,4,4,0,0,3,2,4,5,5,32,3,
609926,Franklin Elementary Fine Arts Center,ES,225 W Evergreen Ave ,Chicago,IL,60610,5,1,5,0,4,3,0,0,4,3,5,5,5,35,3,
609910,Laughlin Falconer Elementary School,ES,3020 N Lamon Ave ,Chicago,IL,60641,1,1,3,2,3,2,2,2,3,3,6,5,7,35,3,
609881,Edward C Delano Elementary School,ES,3937 W Wilcox St ,Chicago,IL,60624,1,1,2,4,4,3,4,4,4,4,3,5,4,38,3,
609945,William C Goudy Elementary School,ES,5120 N Winthrop Ave ,Chicago,IL,60640,1,1,4,3,4,4,4,3,0,0,6,5,5,35,3,
610063,Cyrus H McCormick Elementary School,ES,2712 S Sawyer Ave ,Chicago,IL,60623,1,5,0,4,0,0,4,3,3,4,5,5,5,34,3,
610006,Edward N Hurley Elementary School,ES,3849 W 69th Pl ,Chicago,IL,60629,1,1,4,3,3,3,3,3,3,2,5,5,4,35,3,
610365,Mary McLeod Bethune Elementary School,ES,3030 W Arthington St ,Chicago,IL,60612,1,1,3,3,3,2,2,3,4,4,3,4,7,36,3,
609851,Thomas Chalmers Specialty Elementary School,ES,2745 W Roosevelt Rd ,Chicago,IL,60608,1,1,2,4,2,3,5,4,0,0,4,5,7,33,3,
610233,Elihu Yale Elementary School,ES,7025 S Princeton Ave ,Chicago,IL,60621,1,1,2,2,3,3,0,0,3,3,9,3,7,34,3,
610066,James E McDade Elementary Classical School,ES,8801 S Indiana Ave ,Chicago,IL,60619,5,1,5,0,3,3,0,0,4,3,6,5,4,34,3,
609789,John Barry Elementary School,ES,2828 N Kilbourn Ave ,Chicago,IL,60641,1,1,2,3,4,5,2,3,3,3,5,5,6,38,3,
609715,Thomas Kelly High School,HS,4136 S California Ave ,Chicago,IL,60632,1,1,2,3,2,2,4,3,0,0,9,5,5,32,3,
609925,Joseph Kellman Corporate Community Elementary School,ES,751 S Sacramento Blvd ,Chicago,IL,60612,1,1,3,4,3,3,2,3,4,4,5,5,5,38,3,
609967,William F Finkl Elementary School,ES,2332 S Western Ave ,Chicago,IL,60608,1,1,3,4,3,3,3,3,3,4,5,5,6,39,3,
609989,Victor Herbert Elementary School,ES,2131 W Monroe St ,Chicago,IL,60612,1,1,3,3,4,4,3,3,3,3,2,5,6,36,3,
609954,John Milton Gregory Elementary School,ES,3715 W Polk St ,Chicago,IL,60624,1,1,3,3,2,3,4,3,3,4,5,5,4,36,3,
609971,John Harvard Elementary School of Excellence,ES,7525 S Harvard ,Chicago,IL,60620,1,1,3,2,4,4,3,2,3,4,3,5,6,36,3,
609857,Grover Cleveland Elementary School,ES,3121 W Byron St ,Chicago,IL,60618,1,1,4,3,3,3,3,3,3,3,5,5,6,38,3,
610065,Emmett Louis Till Math and Science Academy,ES,6543 S Champlain Ave ,Chicago,IL,60637,1,1,2,2,3,3,3,3,3,3,8,2,3,35,3,
609738,Lincoln Park High School,HS,2001 N Orchard St ,Chicago,IL,60614,1,1,4,4,3,3,3,3,0,0,4,5,6,32,3,
609884,William E Dever Elementary School,ES,3436 N Osceola Ave ,Chicago,IL,60634,1,1,4,4,4,4,2,2,3,3,5,5,5,38,3,
610096,Florence Nightingale Elementary School,ES,5250 S Rockwell St ,Chicago,IL,60632,1,1,2,3,3,3,4,4,3,3,5,5,5,37,3,
610176,John D Shoop Math-Science Technical Academy Elementary School,ES,11140 S Bishop St ,Chicago,IL,60643,1,1,2,3,3,3,3,3,3,4,3,4,6,35,3,
610248,Chicago Academy Elementary School,ES,3400 N Austin Ave ,Chicago,IL,60634,5,1,4,0,3,2,0,0,3,3,6,5,6,33,3,
609803,James G Blaine Elementary School,ES,1420 W Grace St ,Chicago,IL,60613,5,1,5,0,4,4,0,0,2,2,6,5,6,35,3,
609820,Augustus H Burley Elementary School,ES,1630 W Barry Ave ,Chicago,IL,60657,5,1,5,0,4,4,0,0,4,3,6,5,5,37,3,
610157,Sidney Sawyer Elementary School,ES,5248 S Sawyer Ave ,Chicago,IL,60632,1,1,3,2,3,2,2,2,3,3,6,5,6,34,3,
610104,William J Onahan Elementary School,ES,6634 W Raven St ,Chicago,IL,60631,5,1,4,3,2,2,2,2,3,2,5,5,6,37,3,
610499,Collins Academy High School,HS,1313 S Sacramento Dr ,Chicago,IL,60623,1,1,4,3,3,3,3,3,4,4,1,5,6,36,3,
609679,Charles Allen Prosser Career Academy High School,HS,2148 N Long Ave ,Chicago,IL,60639,1,1,3,3,3,3,2,3,2,2,6,5,4,33,3,
610515,Disney II Magnet School,ES,3815 N Kedvale Ave ,Chicago,IL,60641,5,1,0,5,0,0,4,3,4,4,7,5,6,39,3,
609735,Edward Tilden Career Community Academy High School,HS,4747 S Union Ave ,Chicago,IL,60609,1,1,2,3,3,2,3,2,3,3,8,5,5,36,3,
610263,John Foster Dulles Elementary School,ES,6311 S Calumet Ave ,Chicago,IL,60637,1,1,3,2,3,3,2,2,3,4,4,4,7,35,3,
609906,Robert Emmet Elementary School,ES,5500 W Madison St ,Chicago,IL,60644,1,1,2,0,4,4,0,0,3,4,9,4,4,32,3,
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave ,Chicago,IL,60609,1,1,3,3,3,2,4,3,3,4,5,5,5,37,3,
609894,John B Drake Elementary School,ES,2722 S King Dr ,Chicago,IL,60616,1,1,3,2,3,3,3,1,3,3,3,4,5,31,3,
610002,Thomas Hoyne Elementary School,ES,8905 S Crandon Ave ,Chicago,IL,60617,1,1,4,4,4,4,4,4,0,0,4,5,5,35,3,
